Name,Phone Number,Expenses,Group Name,Mail,Type
Paul,1234,125,Righi,bilet38du38@hotmail.fr,Membre
Nicolas,5678,133,Righi,bilet38du38@hotmail.fr,Membre
Francois,7635,140,Righi,bilet38du38@hotmail.fr,Donateur
Charles,9012,114,Jasse,bilet38du38@hotmail.fr,Membre
Yanis,3456,78,Righi,bilet38du38@hotmail.fr,Membre
Yannick,7890,149,Jasse,bilet38du38@hotmail.fr,Membre
Vincent,4321,95,Berlioz,bilet38du38@hotmail.fr,Membre
Danny,7654,199,Berlioz,bilet38du38@hotmail.fr,Membre
Julien,8642,213,Colombier,bilet38du38@hotmail.fr,Membre
Salim,9456,201,Colombier,bilet38du38@hotmail.fr,Membre
Laura,9012,188,Jasse,bilet38du38@hotmail.fr,Membre
Stephan,8073,178,Berlioz,bilet38du38@hotmail.fr,Membre

